,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
146,Credit Card,3,single,euclidean,1,,,,0.0
147,Credit Card,3,single,manhattan,1,,,,0.0
148,Credit Card,3,single,cosine,9,0.5,1483.64,0.46,0.01
149,Credit Card,3,single,chebyshev,1,,,,0.01
150,Credit Card,3,single,minkowski,1,,,,0.02
151,Credit Card,3,single,mahalanobis,299,0.28,6364.87,0.21,0.07
152,Credit Card,4,ward,euclidean,11,0.68,3596.69,0.48,0.01
153,Credit Card,4,average,euclidean,2,0.49,224.48,0.47,0.01
154,Credit Card,4,average,manhattan,3,0.47,314.83,1.03,0.01
155,Credit Card,4,average,cosine,33,0.51,2165.15,0.56,0.02
156,Credit Card,4,average,chebyshev,1,,,,0.01
157,Credit Card,4,average,minkowski,2,0.49,224.48,0.47,0.03
158,Credit Card,4,average,mahalanobis,479,0.27,77264.78,0.13,0.14
159,Credit Card,4,complete,euclidean,3,0.44,272.18,0.62,0.02
160,Credit Card,4,complete,manhattan,6,0.65,1246.46,0.56,0.01
161,Credit Card,4,complete,cosine,54,0.49,3210.58,0.67,0.02
162,Credit Card,4,complete,chebyshev,2,0.4,181.31,1.6,0.02
163,Credit Card,4,complete,minkowski,3,0.44,272.18,0.62,0.06
164,Credit Card,4,complete,mahalanobis,486,0.27,90894.58,0.14,0.17
165,Credit Card,4,single,euclidean,1,,,,0.0
166,Credit Card,4,single,manhattan,1,,,,0.0
167,Credit Card,4,single,cosine,10,0.54,761.13,0.45,0.01
168,Credit Card,4,single,chebyshev,1,,,,0.01
169,Credit Card,4,single,minkowski,1,,,,0.02
170,Credit Card,4,single,mahalanobis,461,0.25,32010.04,0.13,0.1
171,Mall Customer,2,ward,euclidean,6,0.8,7649.04,0.38,0.0
172,Mall Customer,2,average,euclidean,3,0.85,1157.99,0.24,0.0
173,Mall Customer,2,average,manhattan,3,0.85,1157.99,0.24,0.0
174,Mall Customer,2,average,cosine,12,0.8,3237.92,0.35,0.0
175,Mall Customer,2,average,chebyshev,3,0.85,1157.99,0.24,0.0
176,Mall Customer,2,average,minkowski,3,0.85,1157.99,0.24,0.01
177,Mall Customer,2,average,mahalanobis,52,0.73,233280.35,0.22,0.03
178,Mall Customer,2,complete,euclidean,4,0.86,3943.18,0.29,0.0
179,Mall Customer,2,complete,manhattan,4,0.86,3943.18,0.29,0.0
180,Mall Customer,2,complete,cosine,13,0.79,2970.88,0.35,0.0
181,Mall Customer,2,complete,chebyshev,4,0.86,3943.18,0.29,0.0
182,Mall Customer,2,complete,minkowski,4,0.86,3943.18,0.29,0.01
183,Mall Customer,2,complete,mahalanobis,58,0.74,404682.76,0.22,0.03
184,Mall Customer,2,single,euclidean,3,0.85,1157.99,0.24,0.0
185,Mall Customer,2,single,manhattan,3,0.85,1157.99,0.24,0.0
186,Mall Customer,2,single,cosine,6,0.68,1192.39,0.35,0.0
187,Mall Customer,2,single,chebyshev,3,0.85,1157.99,0.24,0.0
188,Mall Customer,2,single,minkowski,3,0.85,1157.99,0.24,0.01
189,Mall Customer,2,single,mahalanobis,39,0.72,37770.15,0.2,0.03
190,Mall Customer,3,ward,euclidean,10,0.63,3056.25,0.44,0.0
191,Mall Customer,3,average,euclidean,5,0.76,809.91,0.3,0.0
192,Mall Customer,3,average,manhattan,5,0.76,809.91,0.3,0.0
193,Mall Customer,3,average,cosine,11,0.68,1391.27,0.32,0.0
194,Mall Customer,3,average,chebyshev,5,0.76,809.91,0.3,0.0
195,Mall Customer,3,average,minkowski,5,0.76,809.91,0.3,0.01
196,Mall Customer,3,average,mahalanobis,101,0.5,91684.45,0.17,0.03
197,Mall Customer,3,complete,euclidean,7,0.7,1776.92,0.4,0.0
198,Mall Customer,3,complete,manhattan,7,0.7,1776.92,0.4,0.0
199,Mall Customer,3,complete,cosine,17,0.56,1947.6,0.43,0.0
200,Mall Customer,3,complete,chebyshev,7,0.7,1776.92,0.4,0.0
201,Mall Customer,3,complete,minkowski,7,0.7,1776.92,0.4,0.02
202,Mall Customer,3,complete,mahalanobis,111,0.5,157051.39,0.18,0.04
203,Mall Customer,3,single,euclidean,3,0.6,160.61,0.77,0.0
204,Mall Customer,3,single,manhattan,3,0.6,160.61,0.77,0.0
205,Mall Customer,3,single,cosine,6,0.73,657.05,0.26,0.0
206,Mall Customer,3,single,chebyshev,3,0.6,160.61,0.77,0.0
207,Mall Customer,3,single,minkowski,3,0.6,160.61,0.77,0.01
208,Mall Customer,3,single,mahalanobis,84,0.51,19626.29,0.16,0.03
209,Mall Customer,4,ward,euclidean,15,0.62,1709.82,0.42,0.0
210,Mall Customer,4,average,euclidean,8,0.66,529.44,0.34,0.0
211,Mall Customer,4,average,manhattan,10,0.7,984.47,0.35,0.0
212,Mall Customer,4,average,cosine,17,0.59,879.25,0.32,0.0
213,Mall Customer,4,average,chebyshev,8,0.66,529.44,0.34,0.0
214,Mall Customer,4,average,minkowski,8,0.66,529.44,0.34,0.01
215,Mall Customer,4,average,mahalanobis,140,0.34,85888.87,0.09,0.04
216,Mall Customer,4,complete,euclidean,11,0.65,1015.74,0.4,0.0
217,Mall Customer,4,complete,manhattan,13,0.64,1206.17,0.4,0.0
218,Mall Customer,4,complete,cosine,22,0.6,1045.29,0.38,0.01
219,Mall Customer,4,complete,chebyshev,10,0.65,1046.05,0.43,0.0
220,Mall Customer,4,complete,minkowski,11,0.65,1015.74,0.4,0.01
221,Mall Customer,4,complete,mahalanobis,146,0.31,128138.08,0.1,0.04
222,Mall Customer,4,single,euclidean,3,0.45,83.26,1.18,0.0
223,Mall Customer,4,single,manhattan,4,0.25,55.68,1.16,0.0
224,Mall Customer,4,single,cosine,10,0.61,415.99,0.32,0.0
225,Mall Customer,4,single,chebyshev,3,0.45,83.26,1.18,0.0
226,Mall Customer,4,single,minkowski,3,0.45,83.26,1.18,0.01
227,Mall Customer,4,single,mahalanobis,135,0.36,63416.55,0.09,0.04
228,Sales Transactions,2,ward,euclidean,8,0.53,3242.12,0.54,0.02
229,Sales Transactions,2,average,euclidean,1,,,,0.01
230,Sales Transactions,2,average,manhattan,1,,,,0.01
231,Sales Transactions,2,average,cosine,18,0.46,3347.04,0.67,0.02
232,Sales Transactions,2,average,chebyshev,1,,,,0.02
233,Sales Transactions,2,average,minkowski,1,,,,0.04
234,Sales Transactions,2,average,mahalanobis,457,0.33,42699.47,0.24,0.14
235,Sales Transactions,2,complete,euclidean,1,,,,0.01
236,Sales Transactions,2,complete,manhattan,2,0.44,520.8,0.77,0.02
237,Sales Transactions,2,complete,cosine,31,0.36,2866.61,0.88,0.02
238,Sales Transactions,2,complete,chebyshev,1,,,,0.02
239,Sales Transactions,2,complete,minkowski,1,,,,0.04
240,Sales Transactions,2,complete,mahalanobis,484,0.31,52150.24,0.26,0.14
241,Sales Transactions,2,single,euclidean,1,,,,0.0
242,Sales Transactions,2,single,manhattan,1,,,,0.0
243,Sales Transactions,2,single,cosine,1,,,,0.0
244,Sales Transactions,2,single,chebyshev,1,,,,0.01
245,Sales Transactions,2,single,minkowski,1,,,,0.03
246,Sales Transactions,2,single,mahalanobis,377,0.18,592.91,0.25,0.11
247,Sales Transactions,3,ward,euclidean,11,0.45,1394.4,0.72,0.02
248,Sales Transactions,3,average,euclidean,1,,,,0.01
